YearsExperience,Salary
10.3,102499.41
10.4,109494.09
10.4,114729.02
10.5,112769.49
10.5,114754.65
10.5,107444.86
10.5,117627.22
10.6,115266.48
10.6,107675.57
10.6,105374.15
10.6,115149.14
10.7,109907.64
10.7,112298.39
10.7,103204.55
10.7,105830.22
10.8,117321.73
10.8,113876.08
10.9,110158.08
10.9,111418.49
11.0,111520.81
11.0,118110.28
11.1,107183.36
11.1,112877.08
11.1,120173.28
11.2,123902.96
11.2,113221.48
11.2,114155.69
11.2,108597.64
11.3,126237.33
11.3,113362.95
11.3,115154.95
11.4,126259.62
11.4,111589.05
11.4,123237.66
11.6,117168.41
11.6,111674.4
11.7,119403.66
11.7,115248.41
11.7,121885.55
11.8,126813.47
11.9,117988.08
11.9,119706.79
11.9,120823.5
11.9,117759.52
12.0,119134.68
12.0,117122.01
12.1,123947.73
12.2,119667.03
12.2,129326.92
12.2,124952.36
12.3,132091.34
12.3,123953.61
12.4,123916.56
12.4,126475.25
12.4,118408.09
12.5,110167.12
12.5,119618.95
12.6,118998.3
12.6,126172.56
12.6,126950.83
12.7,129039.29
12.7,130606.29
12.7,137496.12
12.8,133450.65
12.8,132320.56
12.8,123711.68
12.8,127870.72
12.8,126043.25
12.8,128732.26
12.9,130125.39
12.9,130323.45
12.9,129921.3
12.9,121931.49
12.9,132973.98
12.9,135397.81
13.0,124445.39
13.0,126073.52
13.0,121562.33
13.1,138082.53
13.1,130913.76
13.2,132313.89
13.2,127051.16
13.2,127596.39
13.2,143544.15
13.3,126504.16
13.3,139920.11
13.4,120029.39
13.4,133315.14
13.4,120264.22
13.4,140700.41
13.6,135833.92
13.6,130530.27
13.7,130958.17
13.8,137909.57
13.8,138211.7
14.0,130416.8
14.0,140591.19
14.1,142289.55
14.1,128252.71
14.1,138359.51
14.1,135041.11
14.1,146259.4
14.2,141327.95
14.2,131154.11
14.2,133319.35
14.2,144991.41
14.2,140378.29
14.3,135379.53
14.3,148765.99
14.3,135509.74
14.4,148331.37
14.4,142843.44
14.4,140391.88
14.6,142713.08
14.7,132506.45
14.7,141033.95
14.7,136457.08
14.7,138854.69
14.7,144320.3
14.8,145452.64
14.8,146787.33
14.9,141748.08
14.9,148476.11
15.0,139492.43
15.1,146798.85
15.1,151176.01
15.1,147139.95
15.2,139702.94
15.2,140217.11
15.2,142739.55
15.2,150384.29
15.3,145986.66
15.3,150052.97
15.3,162093.84
15.4,153808.63
15.5,143715.14
15.5,145896.45
15.5,142751.51
15.6,139729.44
15.6,150733.7
15.6,146731.33
15.7,149405.21
15.7,156567.75
15.8,142574.47
15.9,150701.74
15.9,146846.88
16.0,150801.67
16.0,150785.37
16.0,153462.06
16.1,150739.86
16.1,153692.26
16.2,143003.76
16.2,148381.83
16.2,143947.88
16.2,148546.43
16.3,152227.31
16.3,144754.6
16.3,144965.52
16.3,162014.37
16.3,152436.61
16.4,159401.0
16.4,154878.1
16.4,146491.67
16.5,152485.79
16.5,158946.23
16.5,151804.39
16.6,145384.71
16.7,154610.03
16.7,152413.73
16.8,155103.78
16.8,153085.02
17.0,171480.46
17.1,151025.22
17.1,168442.38
17.1,149018.29
17.2,151424.98
17.2,160931.09
17.2,164244.8
17.3,162937.92
17.3,154568.4
17.4,170353.02
17.4,161369.47
17.4,166819.59
17.5,171501.79
17.6,171889.26
17.6,171688.47
17.6,159786.68
17.8,164160.26
17.8,172207.32
17.8,164241.05
17.9,173750.07
17.9,167361.12
17.9,163574.49
17.9,160301.47
17.9,162477.63
17.9,177331.64
18.0,177088.81
18.0,159891.54
18.0,159848.05
18.0,168839.76
18.0,165742.28
18.1,167845.49
18.1,157187.78
18.1,160929.37
18.2,164863.06
18.2,160094.19
18.2,156366.93
18.2,161307.73
18.2,171835.03
18.2,165996.15
18.3,167066.49
18.3,165966.02
18.5,157910.64
18.5,168020.18
18.6,164104.1
18.6,177332.53
18.6,161575.61
18.8,168932.25
18.8,164917.17
18.8,160991.4
18.8,173207.12
18.8,176966.68
18.9,161898.27
18.9,166002.22
19.0,171955.75
19.0,172171.35
19.0,182118.94
19.0,166747.41
19.0,171617.8
19.0,175548.25
19.1,173680.6
19.1,171828.17
19.2,167872.7
19.3,172943.04
19.3,170820.9
19.3,185294.11
19.3,165008.52
19.3,170532.73
19.3,171612.15
19.3,168393.43
19.4,177272.79
19.4,171309.66
19.4,164753.15
19.4,183637.39
19.4,182126.3
19.5,181776.31
19.5,179150.4
19.5,176939.83
19.7,172479.2
19.7,171317.23
19.7,181436.31
19.7,173964.27
19.7,186996.89
19.8,177261.38
19.8,173560.75
19.9,169943.41
